,DRUG_NAME,COVID_1,COVID_2,COVID_3,COVID_4,COVID_5,COVID_6,COVID_7,COVID_8,COVID_9,COVID_10,COVID_11,COVID_12,COVID_13,COVID_14,COVID_15,COVID_16,COVID_17,COVID_18,COVID_19,COVID_20,COVID_21,COVID_22,COVID_23,COVID_24,COVID_25,COVID_26,COVID_27,COVID_28,COVID_29,COVID_30,COVID_31,COVID_32,COVID_33,IN_CLINICAL_TRIALS
0,Sparfloxacin,0.38203004002571106,0.7012292742729187,0.5588238835334778,0.7065295577049255,0.14292265474796295,0.47523438930511475,0.12779000401496887,-0.003226354019716382,-1.054666519165039,0.835643470287323,0.04791906476020813,0.600369930267334,0.43858110904693604,1.1404719352722168,0.4903838634490967,1.0213580131530762,0.14691369235515594,0.6169779896736145,-0.3498530387878418,0.11493109911680222,0.1301782876253128,0.587020754814148,-0.1806756854057312,0.7793293595314026,1.0390524864196777,-0.557845950126648,0.988781750202179,1.3009649515151978,0.8374326229095459,0.7889866828918457,0.4691799581050873,0.8749028444290161,0.7717127799987793,False
1,2-Hydroxyestradiol,-1.1960499286651611,-1.2108162641525269,-0.8537520170211792,-1.106009840965271,-0.2118559181690216,-0.982770562171936,-0.5729668140411377,-1.8329615592956543,-0.6689478754997253,-0.8794650435447693,-0.562659502029419,-1.066367506980896,-0.8665932416915894,-1.4517742395401,-1.3611518144607544,0.018864721059799194,-1.7097042798995972,-1.6352282762527466,-1.0077704191207886,-0.4469729959964752,-1.6856414079666138,-2.106321096420288,-1.372137188911438,-0.5364304184913635,-1.0015764236450195,0.25781089067459106,-1.3487831354141235,0.29310113191604614,-0.5874302983283997,-1.1480505466461182,-0.6567322611808777,-1.4038535356521606,-0.4951700270175934,False
2,Molsidomine,0.43117356300354004,0.020741350948810577,0.6872455477714539,-0.07734782248735428,0.6136388778686523,-0.13749973475933075,-0.28960680961608887,0.34752029180526733,-0.3907151520252228,-0.3616555631160736,0.4797920882701874,0.18088756501674652,-0.2965226173400879,0.01225370541214943,0.269313246011734,-0.008765620179474354,0.8107059597969055,0.2082156240940094,0.12065617740154266,0.22011610865592957,-0.4116414487361908,-0.2016540914773941,0.10721167176961899,-0.8054988384246826,0.5512464642524719,1.375321388244629,0.00014699395978823304,-0.08740116655826569,0.20570391416549683,-0.5144614577293396,0.4269504249095917,0.22019745409488678,-0.6317755579948425,False
3,B-2-Octylglucoside,-2.107710838317871,-0.86346036195755,-1.8331047296524048,-2.6106228828430176,-2.871079444885254,-1.4864531755447388,-2.29872465133667,-1.8238203525543213,-1.2462337017059326,-2.066504716873169,-2.6637139320373535,-2.2642409801483154,-1.552314281463623,-1.904911756515503,-2.110675811767578,-2.001814365386963,-2.2339940071105957,-2.6991236209869385,-2.2428016662597656,-2.595008373260498,-1.1292363405227661,-1.7083115577697754,-2.116802215576172,-1.1371409893035889,-2.943324565887451,-3.1528799533843994,-1.8712140321731567,-2.064185619354248,-2.3178038597106934,-2.9560739994049072,-3.3207778930664062,-2.7458298206329346,-1.0323946475982666,False
4,KAI-1455,0.15819354355335236,-0.26383063197135925,0.1719474047422409,0.9384338855743408,0.2616681456565857,0.49032312631607056,0.9772258996963501,0.581633985042572,0.21448834240436554,0.7653989195823669,0.37173396348953247,0.44498535990715027,0.12215492129325867,0.0812881588935852,0.38146868348121643,-0.09189138561487198,0.11508889496326447,1.325039029121399,0.20891079306602478,0.591930627822876,0.22225891053676605,0.18840391933918,0.2531864047050476,-0.20560628175735474,0.33532068133354187,0.7774510383605957,0.19189126789569855,0.34180352091789246,0.8524870276451111,1.4768208265304565,0.7719047665596008,0.28546908497810364,0.17873786389827728,False
5,Echothiophate,0.058641571551561356,-0.10787451267242432,-0.19357678294181824,1.0701156854629517,-0.27347010374069214,0.3898010551929474,0.37880775332450867,-1.5287140607833862,-2.1436069011688232,0.39090496301651,0.31327110528945923,-0.7274784445762634,0.07631777971982956,-0.1756906658411026,0.6188161969184875,-0.6020066738128662,1.0916781425476074,1.584363341331482,-0.45441076159477234,0.7443707585334778,-0.7676289677619934,-0.4134126603603363,-0.4360923767089844,-0.33337631821632385,0.5314733386039734,0.10773604363203049,0.2550767958164215,1.4702646732330322,1.521245002746582,0.8511476516723633,1.1005231142044067,0.997433602809906,0.6720425486564636,False
6,OPC-14523,0.1641436219215393,-0.021748011931777,0.07146275788545609,0.28026098012924194,0.5300188660621643,-0.2695317566394806,0.24441631138324738,-0.029268452897667885,0.6909999251365662,-0.24193410575389862,-0.1650356501340866,0.3286347985267639,0.3181381821632385,0.11416713148355484,0.43247488141059875,0.5946739315986633,0.09969840198755264,-0.6684116721153259,0.320487380027771,0.21116390824317932,-0.2724315822124481,-0.2286515086889267,0.08003684133291245,0.2296639084815979,0.35732853412628174,-0.0001973073958652094,0.28082790970802307,0.3602423667907715,0.10037197917699814,0.5599390864372253,0.5749078392982483,0.4579879343509674,0.4878562092781067,False
7,AKI-001,-0.16944564878940582,-0.007848736830055714,-0.353248655796051,-0.4584966003894806,0.05087243765592575,-0.18409159779548645,0.019786881282925606,-0.0027616294100880623,0.7817872762680054,-0.2963118851184845,0.028311287984251976,-0.3678736984729767,-0.14985986053943634,-0.29420506954193115,-0.4625738263130188,-0.31663402915000916,-0.1167227104306221,-0.5697058439254761,0.543484628200531,-0.46763309836387634,0.054097216576337814,0.017031341791152954,0.32447120547294617,0.057086650282144547,-0.25883084535598755,0.14223533868789673,-0.32332801818847656,-0.7574987411499023,-0.5049064755439758,-0.3839772343635559,-0.31341221928596497,-0.2842051088809967,-0.25008681416511536,False
8,Dotarizine,0.14908675849437714,0.08009067177772522,0.37697020173072815,0.4682845175266266,0.6767356395721436,0.13886384665966034,0.36305928230285645,0.2821747958660126,-0.7279571294784546,-0.06344620138406754,-0.16583076119422913,0.4495190978050232,0.3894045650959015,0.2261013388633728,0.6545307636260986,0.9051364064216614,-0.020255863666534424,-0.31819474697113037,-0.4305270314216614,0.12306820601224899,-0.1385120451450348,-0.5485051274299622,-0.16874682903289795,-0.19990703463554382,0.20499832928180695,0.07802032679319382,0.35624995827674866,0.4563646614551544,0.02466701529920101,0.17640914022922516,0.48627787828445435,0.2095371037721634,0.21926537156105042,False
9,2-Bromo-2-Propene-1-Ol,-2.3146047592163086,-1.3964797258377075,-2.148216485977173,-2.1731038093566895,-2.6090469360351562,-1.5981574058532715,-2.4664783477783203,-2.524719715118408,-2.224639654159546,-1.9347023963928223,-3.4668021202087402,-1.7168262004852295,-1.494170904159546,-1.9556217193603516,-2.120880603790283,-1.2873241901397705,-2.637517213821411,-2.909113883972168,-3.123368978500366,-2.5592093467712402,-2.0076427459716797,-2.6458749771118164,-2.802943706512451,-1.572216272354126,-2.2939319610595703,-3.5116891860961914,-1.5935981273651123,-0.720850944519043,-1.8867179155349731,-0.7715421319007874,-2.4898712635040283,-2.468639612197876,-0.6309261322021484,False
